date,first_prize,last2,front3_1,front3_2,back3_1,back3_2
16/09/2018,149760,23,760,793,539,155
01/09/2018,734510,64,510,264,512,97
16/08/2018,586117,40,117,103,670,591
01/08/2018,386602,32,602,788,903,549
16/07/2018,596324,3,324,274,530,138
01/07/2018,963623,29,623,834,901,210
16/06/2018,223131,32,131,464,507,132
01/06/2018,988117,10,117,953,553,248
16/05/2018,75629,30,629,201,357,47
02/05/2018,248038,27,38,855,980,225
16/04/2018,739229,73,229,602,654,76
01/04/2018,412073,31,73,851,787,638
16/03/2018,218559,64,559,820,720,205
02/03/2018,759415,18,415,293,870,589
16/02/2018,309915,7,915,390,388,230
01/02/2018,26853,6,853,311,947,181
17/01/2018,203823,24,823,506,799,236
30/12/2017,911234,73,234,983,495,504
16/12/2017,955596,16,596,896,836,290
01/12/2017,451005,3,5,333,626,257
16/11/2017,292391,31,391,988,961,477
01/11/2017,533726,65,726,851,425,36
16/10/2017,413494,80,494,861,971,128
01/10/2017,880714,11,714,526,726,462
16/09/2017,170143,72,143,711,647,340
01/09/2017,143224,45,224,653,679,195
16/08/2017,715431,15,431,371,302,253
01/08/2017,756519,61,519,360,386,787
16/07/2017,820327,84,327,875,835,390
01/07/2017,112360,26,360,262,489,5
16/06/2017,943142,26,142,476,878,373
01/06/2017,53630,21,630,611,218,581
16/05/2017,454891,8,891,530,396,490
02/05/2017,8656,73,656,355,949,773
16/04/2017,816729,66,729,407,973,241
01/04/2017,392785,20,785,800,57,500
16/03/2017,273863,24,863,923,918,694
01/03/2017,978453,50,453,784,560,52
16/02/2017,229116,28,116,141,464,375
01/02/2017,54672,66,672,420,807,426
17/01/2017,145157,11,157,255,663,516
30/12/2016,377712,4,712,463,890,477
16/12/2016,435286,66,286,353,596,199
01/12/2016,86069,13,69,775,873,148
16/11/2016,858383,40,383,440,682,558
01/11/2016,785438,24,438,868,976,38
16/10/2016,571947,92,947,986,885,32
01/10/2016,887102,94,102,331,280,17
16/09/2016,240650,93,650,424,583,43
01/09/2016,638684,34,684,623,335,630
16/08/2016,254004,66,4,333,966,596
01/08/2016,272932,38,932,575,983,472
16/07/2016,449764,52,764,555,734,158
01/07/2016,82460,69,460,531,609,173
16/06/2016,73816,51,816,792,804,321
01/06/2016,511825,11,825,141,775,880
16/05/2016,141737,82,737,983,975,87
02/05/2016,399459,38,459,22,403,46
16/04/2016,221609,8,609,870,228,507
01/04/2016,66720,90,720,923,546,285
